pest_id,crop,pest,life_stage,symptoms,affected_part,damage_type,peak_season,severity,description
194,Tomato,Thrips,Larva,Typical symptoms caused by Thrips,Leaf,Fruit damage,Year-round,Medium,Thrips is a common pest affecting Tomato.
195,Chilli,Fruit Borer,Nymph,Typical symptoms caused by Fruit Borer,Fruit,Stem boring,Year-round,Medium,Fruit Borer is a common pest affecting Chilli.
196,Maize,Corn Earworm,Egg,Typical symptoms caused by Corn Earworm,Fruit,Fruit damage,Year-round,Low,Corn Earworm is a common pest affecting Maize.
197,Potato,Potato Tuber Moth,Nymph,Typical symptoms caused by Potato Tuber Moth,Whole Plant,Fruit damage,Kharif,Low,Potato Tuber Moth is a common pest affecting Potato.
198,Rice,Green Leafhopper,Adult,Typical symptoms caused by Green Leafhopper,Leaf,Leaf feeding,Year-round,Medium,Green Leafhopper is a common pest affecting Rice.
199,Potato,Leafhopper,Larva,Typical symptoms caused by Leafhopper,Whole Plant,Fruit damage,Summer,Medium,Leafhopper is a common pest affecting Potato.
200,Soybean,Whitefly,Larva,Typical symptoms caused by Whitefly,Stem,Defoliation,Rabi,Medium,Whitefly is a common pest affecting Soybean.
201,Chilli,Fruit Borer,Adult,Typical symptoms caused by Fruit Borer,Stem,Root damage,Year-round,High,Fruit Borer is a common pest affecting Chilli.
202,Tomato,Whitefly,Nymph,Typical symptoms caused by Whitefly,Leaf,Fruit damage,Summer,Low,Whitefly is a common pest affecting Tomato.
203,Onion,Leaf Miner,Egg,Typical symptoms caused by Leaf Miner,Root,Sap sucking,Summer,Medium,Leaf Miner is a common pest affecting Onion.
204,Wheat,Pink Stem Borer,Adult,Typical symptoms caused by Pink Stem Borer,Root,Leaf feeding,Kharif,Low,Pink Stem Borer is a common pest affecting Wheat.
205,Wheat,Cutworm,Adult,Typical symptoms caused by Cutworm,Whole Plant,Sap sucking,Summer,Medium,Cutworm is a common pest affecting Wheat.
206,Maize,Shoot Fly,Egg,Typical symptoms caused by Shoot Fly,Leaf,Fruit damage,Rabi,Medium,Shoot Fly is a common pest affecting Maize.
207,Potato,Leafhopper,Adult,Typical symptoms caused by Leafhopper,Whole Plant,Fruit damage,Rabi,Low,Leafhopper is a common pest affecting Potato.
208,Maize,Fall Armyworm,Adult,Typical symptoms caused by Fall Armyworm,Leaf,Sap sucking,Kharif,High,Fall Armyworm is a common pest affecting Maize.
209,Wheat,Termite,Nymph,Typical symptoms caused by Termite,Root,Root damage,Rabi,Low,Termite is a common pest affecting Wheat.
210,Chilli,Aphid,Larva,Typical symptoms caused by Aphid,Stem,Root damage,Rabi,Low,Aphid is a common pest affecting Chilli.
211,Banana,Rhizome Weevil,Egg,Typical symptoms caused by Rhizome Weevil,Root,Sap sucking,Rabi,High,Rhizome Weevil is a common pest affecting Banana.
212,Cotton,Pink Bollworm,Nymph,Typical symptoms caused by Pink Bollworm,Stem,Fruit damage,Rabi,High,Pink Bollworm is a common pest affecting Cotton.
213,Cotton,Pink Bollworm,Larva,Typical symptoms caused by Pink Bollworm,Fruit,Stem boring,Kharif,High,Pink Bollworm is a common pest affecting Cotton.
214,Rice,Rice Hispa,Adult,Typical symptoms caused by Rice Hispa,Fruit,Fruit damage,Year-round,High,Rice Hispa is a common pest affecting Rice.
215,Soybean,Aphid,Egg,Typical symptoms caused by Aphid,Leaf,Fruit damage,Kharif,High,Aphid is a common pest affecting Soybean.
216,Onion,Leaf Miner,Larva,Typical symptoms caused by Leaf Miner,Fruit,Root damage,Year-round,High,Leaf Miner is a common pest affecting Onion.
217,Tomato,Whitefly,Larva,Typical symptoms caused by Whitefly,Root,Stem boring,Year-round,High,Whitefly is a common pest affecting Tomato.
218,Rice,Green Leafhopper,Egg,Typical symptoms caused by Green Leafhopper,Leaf,Sap sucking,Kharif,High,Green Leafhopper is a common pest affecting Rice.
219,Onion,Onion Thrips,Egg,Typical symptoms caused by Onion Thrips,Root,Leaf feeding,Rabi,Low,Onion Thrips is a common pest affecting Onion.
220,Chilli,Thrips,Egg,Typical symptoms caused by Thrips,Whole Plant,Sap sucking,Kharif,High,Thrips is a common pest affecting Chilli.
221,Rice,Armyworm,Larva,Typical symptoms caused by Armyworm,Whole Plant,Root damage,Kharif,Low,Armyworm is a common pest affecting Rice.
222,Tomato,Aphid,Egg,Typical symptoms caused by Aphid,Leaf,Fruit damage,Year-round,High,Aphid is a common pest affecting Tomato.
223,Potato,Cutworm,Egg,Typical symptoms caused by Cutworm,Root,Sap sucking,Kharif,High,Cutworm is a common pest affecting Potato.
224,Wheat,Termite,Egg,Typical symptoms caused by Termite,Stem,Leaf feeding,Summer,Medium,Termite is a common pest affecting Wheat.
225,Chilli,Mite,Larva,Typical symptoms caused by Mite,Root,Sap sucking,Kharif,High,Mite is a common pest affecting Chilli.
226,Tomato,Leaf Miner,Larva,Typical symptoms caused by Leaf Miner,Leaf,Stem boring,Kharif,Low,Leaf Miner is a common pest affecting Tomato.
227,Chilli,Whitefly,Larva,Typical symptoms caused by Whitefly,Whole Plant,Leaf feeding,Rabi,High,Whitefly is a common pest affecting Chilli.
228,Chilli,Aphid,Egg,Typical symptoms caused by Aphid,Root,Defoliation,Kharif,High,Aphid is a common pest affecting Chilli.
229,Tomato,Spider Mite,Nymph,Typical symptoms caused by Spider Mite,Whole Plant,Stem boring,Rabi,High,Spider Mite is a common pest affecting Tomato.
230,Onion,Maggot,Adult,Typical symptoms caused by Maggot,Whole Plant,Defoliation,Rabi,Medium,Maggot is a common pest affecting Onion.
231,Chilli,Thrips,Adult,Typical symptoms caused by Thrips,Stem,Sap sucking,Summer,Medium,Thrips is a common pest affecting Chilli.
232,Cotton,Pink Bollworm,Egg,Typical symptoms caused by Pink Bollworm,Fruit,Sap sucking,Kharif,Medium,Pink Bollworm is a common pest affecting Cotton.
233,Maize,Corn Earworm,Nymph,Typical symptoms caused by Corn Earworm,Fruit,Sap sucking,Rabi,High,Corn Earworm is a common pest affecting Maize.
234,Rice,Stem Borer,Larva,Typical symptoms caused by Stem Borer,Root,Sap sucking,Year-round,Medium,Stem Borer is a common pest affecting Rice.
235,Chilli,Mite,Nymph,Typical symptoms caused by Mite,Whole Plant,Fruit damage,Rabi,Medium,Mite is a common pest affecting Chilli.
236,Soybean,Stem Fly,Egg,Typical symptoms caused by Stem Fly,Whole Plant,Leaf feeding,Rabi,Medium,Stem Fly is a common pest affecting Soybean.
237,Banana,Banana Weevil,Egg,Typical symptoms caused by Banana Weevil,Root,Stem boring,Year-round,Low,Banana Weevil is a common pest affecting Banana.
238,Maize,Corn Earworm,Adult,Typical symptoms caused by Corn Earworm,Leaf,Stem boring,Rabi,High,Corn Earworm is a common pest affecting Maize.
239,Cotton,Mealybug,Larva,Typical symptoms caused by Mealybug,Stem,Defoliation,Summer,Low,Mealybug is a common pest affecting Cotton.
240,Cotton,Whitefly,Adult,Typical symptoms caused by Whitefly,Leaf,Sap sucking,Summer,Low,Whitefly is a common pest affecting Cotton.
241,Onion,Leaf Miner,Egg,Typical symptoms caused by Leaf Miner,Stem,Fruit damage,Summer,Low,Leaf Miner is a common pest affecting Onion.
242,Wheat,Armyworm,Egg,Typical symptoms caused by Armyworm,Root,Sap sucking,Year-round,High,Armyworm is a common pest affecting Wheat.
243,Tomato,Aphid,Egg,Typical symptoms caused by Aphid,Whole Plant,Leaf feeding,Kharif,Low,Aphid is a common pest affecting Tomato.
244,Potato,Leafhopper,Egg,Typical symptoms caused by Leafhopper,Fruit,Leaf feeding,Rabi,Medium,Leafhopper is a common pest affecting Potato.
245,Banana,Banana Weevil,Nymph,Typical symptoms caused by Banana Weevil,Leaf,Defoliation,Year-round,High,Banana Weevil is a common pest affecting Banana.
246,Soybean,Aphid,Egg,Typical symptoms caused by Aphid,Fruit,Stem boring,Rabi,High,Aphid is a common pest affecting Soybean.
247,Cotton,Whitefly,Egg,Typical symptoms caused by Whitefly,Root,Leaf feeding,Rabi,Medium,Whitefly is a common pest affecting Cotton.
248,Potato,Cutworm,Nymph,Typical symptoms caused by Cutworm,Whole Plant,Root damage,Rabi,Medium,Cutworm is a common pest affecting Potato.
249,Potato,Aphid,Nymph,Typical symptoms caused by Aphid,Leaf,Fruit damage,Year-round,Low,Aphid is a common pest affecting Potato.
250,Cotton,American Bollworm,Nymph,Typical symptoms caused by American Bollworm,Root,Defoliation,Kharif,Medium,American Bollworm is a common pest affecting Cotton.
251,Maize,Stem Borer,Adult,Typical symptoms caused by Stem Borer,Leaf,Root damage,Kharif,Low,Stem Borer is a common pest affecting Maize.
252,Wheat,Termite,Larva,Typical symptoms caused by Termite,Whole Plant,Defoliation,Year-round,Medium,Termite is a common pest affecting Wheat.
253,Rice,Stem Borer,Egg,Typical symptoms caused by Stem Borer,Stem,Stem boring,Summer,Medium,Stem Borer is a common pest affecting Rice.
254,Soybean,Stem Fly,Adult,Typical symptoms caused by Stem Fly,Root,Defoliation,Kharif,Medium,Stem Fly is a common pest affecting Soybean.
255,Soybean,Whitefly,Adult,Typical symptoms caused by Whitefly,Leaf,Stem boring,Rabi,High,Whitefly is a common pest affecting Soybean.
256,Cotton,Mealybug,Adult,Typical symptoms caused by Mealybug,Fruit,Root damage,Summer,Low,Mealybug is a common pest affecting Cotton.
257,Wheat,Pink Stem Borer,Nymph,Typical symptoms caused by Pink Stem Borer,Whole Plant,Stem boring,Kharif,Medium,Pink Stem Borer is a common pest affecting Wheat.
258,Soybean,Semilooper,Adult,Typical symptoms caused by Semilooper,Root,Fruit damage,Rabi,Low,Semilooper is a common pest affecting Soybean.
259,Tomato,Thrips,Larva,Typical symptoms caused by Thrips,Fruit,Sap sucking,Rabi,Medium,Thrips is a common pest affecting Tomato.
260,Banana,Thrips,Nymph,Typical symptoms caused by Thrips,Leaf,Stem boring,Rabi,Low,Thrips is a common pest affecting Banana.
261,Maize,Fall Armyworm,Nymph,Typical symptoms caused by Fall Armyworm,Fruit,Fruit damage,Kharif,High,Fall Armyworm is a common pest affecting Maize.
262,Wheat,Cutworm,Adult,Typical symptoms caused by Cutworm,Root,Stem boring,Year-round,Medium,Cutworm is a common pest affecting Wheat.
263,Rice,Leaf Folder,Egg,Typical symptoms caused by Leaf Folder,Root,Stem boring,Year-round,Low,Leaf Folder is a common pest affecting Rice.
264,Cotton,Mealybug,Larva,Typical symptoms caused by Mealybug,Root,Defoliation,Year-round,High,Mealybug is a common pest affecting Cotton.
265,Maize,Aphid,Nymph,Typical symptoms caused by Aphid,Leaf,Root damage,Rabi,High,Aphid is a common pest affecting Maize.
266,Rice,Brown Planthopper,Larva,Typical symptoms caused by Brown Planthopper,Fruit,Leaf feeding,Rabi,High,Brown Planthopper is a common pest affecting Rice.
267,Wheat,Pink Stem Borer,Nymph,Typical symptoms caused by Pink Stem Borer,Whole Plant,Root damage,Year-round,Low,Pink Stem Borer is a common pest affecting Wheat.
268,Wheat,Cutworm,Adult,Typical symptoms caused by Cutworm,Fruit,Sap sucking,Rabi,Medium,Cutworm is a common pest affecting Wheat.
269,Wheat,Aphid,Egg,Typical symptoms caused by Aphid,Leaf,Leaf feeding,Year-round,High,Aphid is a common pest affecting Wheat.
270,Potato,White Grub,Egg,Typical symptoms caused by White Grub,Whole Plant,Leaf feeding,Summer,Low,White Grub is a common pest affecting Potato.
271,Cotton,Jassid,Adult,Typical symptoms caused by Jassid,Whole Plant,Fruit damage,Rabi,High,Jassid is a common pest affecting Cotton.
272,Rice,Caseworm,Adult,Typical symptoms caused by Caseworm,Fruit,Root damage,Kharif,High,Caseworm is a common pest affecting Rice.
273,Rice,Rice Hispa,Nymph,Typical symptoms caused by Rice Hispa,Stem,Fruit damage,Year-round,Low,Rice Hispa is a common pest affecting Rice.
274,Potato,Cutworm,Larva,Typical symptoms caused by Cutworm,Leaf,Root damage,Year-round,Low,Cutworm is a common pest affecting Potato.
275,Tomato,Spider Mite,Nymph,Typical symptoms caused by Spider Mite,Root,Fruit damage,Kharif,Medium,Spider Mite is a common pest affecting Tomato.
276,Rice,Caseworm,Nymph,Typical symptoms caused by Caseworm,Root,Stem boring,Rabi,High,Caseworm is a common pest affecting Rice.
277,Cotton,American Bollworm,Nymph,Typical symptoms caused by American Bollworm,Fruit,Stem boring,Rabi,Low,American Bollworm is a common pest affecting Cotton.
278,Rice,Armyworm,Larva,Typical symptoms caused by Armyworm,Stem,Root damage,Rabi,Low,Armyworm is a common pest affecting Rice.
279,Chilli,Whitefly,Adult,Typical symptoms caused by Whitefly,Stem,Leaf feeding,Rabi,Medium,Whitefly is a common pest affecting Chilli.
280,Soybean,Whitefly,Adult,Typical symptoms caused by Whitefly,Root,Stem boring,Year-round,Medium,Whitefly is a common pest affecting Soybean.
281,Tomato,Thrips,Nymph,Typical symptoms caused by Thrips,Stem,Sap sucking,Rabi,Medium,Thrips is a common pest affecting Tomato.
282,Onion,Maggot,Adult,Typical symptoms caused by Maggot,Leaf,Fruit damage,Rabi,Medium,Maggot is a common pest affecting Onion.
283,Tomato,Aphid,Adult,Typical symptoms caused by Aphid,Stem,Defoliation,Kharif,Medium,Aphid is a common pest affecting Tomato.
284,Cotton,Jassid,Larva,Typical symptoms caused by Jassid,Stem,Defoliation,Kharif,Medium,Jassid is a common pest affecting Cotton.
285,Banana,Banana Weevil,Adult,Typical symptoms caused by Banana Weevil,Whole Plant,Defoliation,Kharif,Low,Banana Weevil is a common pest affecting Banana.
286,Wheat,Cutworm,Larva,Typical symptoms caused by Cutworm,Fruit,Leaf feeding,Kharif,Low,Cutworm is a common pest affecting Wheat.
287,Rice,Armyworm,Egg,Typical symptoms caused by Armyworm,Leaf,Fruit damage,Summer,Medium,Armyworm is a common pest affecting Rice.
288,Onion,Cutworm,Adult,Typical symptoms caused by Cutworm,Root,Stem boring,Rabi,High,Cutworm is a common pest affecting Onion.
289,Wheat,Termite,Egg,Typical symptoms caused by Termite,Fruit,Stem boring,Summer,Medium,Termite is a common pest affecting Wheat.
290,Soybean,Whitefly,Larva,Typical symptoms caused by Whitefly,Root,Sap sucking,Rabi,High,Whitefly is a common pest affecting Soybean.
291,Tomato,Whitefly,Nymph,Typical symptoms caused by Whitefly,Leaf,Defoliation,Summer,Medium,Whitefly is a common pest affecting Tomato.
292,Banana,Thrips,Egg,Typical symptoms caused by Thrips,Whole Plant,Sap sucking,Kharif,Low,Thrips is a common pest affecting Banana.
293,Banana,Nematode,Adult,Typical symptoms caused by Nematode,Fruit,Fruit damage,Summer,Low,Nematode is a common pest affecting Banana.
294,Chilli,Thrips,Larva,Typical symptoms caused by Thrips,Leaf,Defoliation,Summer,Medium,Thrips is a common pest affecting Chilli.
295,Banana,Thrips,Larva,Typical symptoms caused by Thrips,Root,Fruit damage,Rabi,High,Thrips is a common pest affecting Banana.
296,Banana,Thrips,Adult,Typical symptoms caused by Thrips,Whole Plant,Sap sucking,Kharif,High,Thrips is a common pest affecting Banana.
297,Potato,Aphid,Nymph,Typical symptoms caused by Aphid,Root,Stem boring,Summer,Low,Aphid is a common pest affecting Potato.
298,Potato,White Grub,Nymph,Typical symptoms caused by White Grub,Whole Plant,Leaf feeding,Summer,Low,White Grub is a common pest affecting Potato.
299,Wheat,Cutworm,Nymph,Typical symptoms caused by Cutworm,Root,Leaf feeding,Year-round,High,Cutworm is a common pest affecting Wheat.
300,Maize,Corn Earworm,Adult,Typical symptoms caused by Corn Earworm,Whole Plant,Sap sucking,Kharif,Low,Corn Earworm is a common pest affecting Maize.
