disease_id,crop,disease,disease_type,symptoms,affected_part,favorable_conditions,severity,spread_method,diagnosis
193,Maize,Turcicum Leaf Blight,Fungal,Typical symptoms observed for Turcicum Leaf Blight,Tuber,Dense canopy,High,Air,Likely Turcicum Leaf Blight in Maize
194,Soybean,Frogeye Leaf Spot,Viral,Typical symptoms observed for Frogeye Leaf Spot,Tuber,Warm humid weather,Medium,Seed,Likely Frogeye Leaf Spot in Soybean
195,Cotton,Grey Mildew,Viral,Typical symptoms observed for Grey Mildew,Tuber,Warm moist soil,Medium,Seed,Likely Grey Mildew in Cotton
196,Tomato,Late Blight,Physiological,Typical symptoms observed for Late Blight,Tuber,20-30°C,High,Water,Likely Late Blight in Tomato
197,Soybean,Anthracnose,Fungal,Typical symptoms observed for Anthracnose,Whole Plant,High humidity,Medium,Water,Likely Anthracnose in Soybean
198,Soybean,Anthracnose,Bacterial,Typical symptoms observed for Anthracnose,Stem,Poor drainage,Low,Seed,Likely Anthracnose in Soybean
199,Tomato,Late Blight,Fungal,Typical symptoms observed for Late Blight,Stem,Poor drainage,High,Water,Likely Late Blight in Tomato
200,Rice,Tungro,Bacterial,Typical symptoms observed for Tungro,Leaf,High humidity,High,Insect,Likely Tungro in Rice
201,Rice,False Smut,Physiological,Typical symptoms observed for False Smut,Stem,Dense canopy,High,Seed,Likely False Smut in Rice
202,Cotton,Bacterial Blight,Viral,Typical symptoms observed for Bacterial Blight,Whole Plant,Warm moist soil,High,Soil,Likely Bacterial Blight in Cotton
203,Potato,Leaf Roll Virus,Physiological,Typical symptoms observed for Leaf Roll Virus,Panicle,Warm moist soil,Medium,Insect,Likely Leaf Roll Virus in Potato
204,Soybean,Anthracnose,Viral,Typical symptoms observed for Anthracnose,Root,Dense canopy,High,Insect,Likely Anthracnose in Soybean
205,Cotton,Root Rot,Fungal,Typical symptoms observed for Root Rot,Stem,Dense canopy,High,Seed,Likely Root Rot in Cotton
206,Cotton,Leaf Curl Virus,Bacterial,Typical symptoms observed for Leaf Curl Virus,Root,High humidity,Medium,Insect,Likely Leaf Curl Virus in Cotton
207,Soybean,Rust,Fungal,Typical symptoms observed for Rust,Stem,Warm humid weather,High,Insect,Likely Rust in Soybean
208,Soybean,Charcoal Rot,Physiological,Typical symptoms observed for Charcoal Rot,Leaf,Cool wet weather,Low,Insect,Likely Charcoal Rot in Soybean
209,Banana,Bunchy Top,Viral,Typical symptoms observed for Bunchy Top,Tuber,Warm moist soil,High,Water,Likely Bunchy Top in Banana
210,Chilli,Powdery Mildew,Physiological,Typical symptoms observed for Powdery Mildew,Root,Warm humid weather,High,Water,Likely Powdery Mildew in Chilli
211,Onion,Stemphylium Blight,Physiological,Typical symptoms observed for Stemphylium Blight,Stem,Warm moist soil,High,Soil,Likely Stemphylium Blight in Onion
212,Tomato,Early Blight,Viral,Typical symptoms observed for Early Blight,Whole Plant,Poor drainage,Medium,Water,Likely Early Blight in Tomato
213,Rice,Stem Rot,Fungal,Typical symptoms observed for Stem Rot,Panicle,Dense canopy,Medium,Air,Likely Stem Rot in Rice
214,Maize,Downy Mildew,Bacterial,Typical symptoms observed for Downy Mildew,Tuber,Warm moist soil,Medium,Seed,Likely Downy Mildew in Maize
215,Wheat,Powdery Mildew,Physiological,Typical symptoms observed for Powdery Mildew,Panicle,Warm humid weather,High,Soil,Likely Powdery Mildew in Wheat
216,Rice,Blast,Fungal,Typical symptoms observed for Blast,Tuber,Poor drainage,High,Seed,Likely Blast in Rice
217,Tomato,Bacterial Wilt,Bacterial,Typical symptoms observed for Bacterial Wilt,Panicle,Dense canopy,Low,Water,Likely Bacterial Wilt in Tomato
218,Wheat,Loose Smut,Fungal,Typical symptoms observed for Loose Smut,Tuber,Warm moist soil,Low,Soil,Likely Loose Smut in Wheat
219,Rice,Bakanae,Physiological,Typical symptoms observed for Bakanae,Stem,High humidity,Medium,Air,Likely Bakanae in Rice
220,Chilli,Leaf Curl,Fungal,Typical symptoms observed for Leaf Curl,Root,High humidity,Medium,Soil,Likely Leaf Curl in Chilli
221,Rice,Bacterial Leaf Blight,Physiological,Typical symptoms observed for Bacterial Leaf Blight,Tuber,20-30°C,High,Air,Likely Bacterial Leaf Blight in Rice
222,Wheat,Leaf Rust,Physiological,Typical symptoms observed for Leaf Rust,Root,Warm humid weather,Low,Insect,Likely Leaf Rust in Wheat
223,Soybean,Anthracnose,Physiological,Typical symptoms observed for Anthracnose,Panicle,20-30°C,Medium,Seed,Likely Anthracnose in Soybean
224,Potato,Late Blight,Bacterial,Typical symptoms observed for Late Blight,Tuber,Poor drainage,Low,Soil,Likely Late Blight in Potato
225,Rice,Narrow Brown Spot,Fungal,Typical symptoms observed for Narrow Brown Spot,Leaf,Poor drainage,Low,Insect,Likely Narrow Brown Spot in Rice
226,Chilli,Anthracnose,Physiological,Typical symptoms observed for Anthracnose,Leaf,High humidity,Medium,Soil,Likely Anthracnose in Chilli
227,Potato,Black Scurf,Fungal,Typical symptoms observed for Black Scurf,Whole Plant,Poor drainage,High,Air,Likely Black Scurf in Potato
228,Onion,Stemphylium Blight,Fungal,Typical symptoms observed for Stemphylium Blight,Stem,Warm humid weather,Medium,Insect,Likely Stemphylium Blight in Onion
229,Chilli,Leaf Curl,Fungal,Typical symptoms observed for Leaf Curl,Panicle,Warm humid weather,High,Air,Likely Leaf Curl in Chilli
230,Rice,Stem Rot,Fungal,Typical symptoms observed for Stem Rot,Panicle,Poor drainage,Low,Soil,Likely Stem Rot in Rice
231,Cotton,Bacterial Blight,Physiological,Typical symptoms observed for Bacterial Blight,Stem,Warm humid weather,Medium,Water,Likely Bacterial Blight in Cotton
232,Potato,Common Scab,Fungal,Typical symptoms observed for Common Scab,Root,Cool wet weather,Medium,Soil,Likely Common Scab in Potato
233,Wheat,Karnal Bunt,Bacterial,Typical symptoms observed for Karnal Bunt,Tuber,Dense canopy,High,Water,Likely Karnal Bunt in Wheat
234,Onion,Stemphylium Blight,Bacterial,Typical symptoms observed for Stemphylium Blight,Panicle,Warm humid weather,Medium,Water,Likely Stemphylium Blight in Onion
235,Maize,Turcicum Leaf Blight,Physiological,Typical symptoms observed for Turcicum Leaf Blight,Stem,High humidity,Low,Seed,Likely Turcicum Leaf Blight in Maize
236,Potato,Black Scurf,Viral,Typical symptoms observed for Black Scurf,Tuber,Poor drainage,High,Water,Likely Black Scurf in Potato
237,Onion,Downy Mildew,Viral,Typical symptoms observed for Downy Mildew,Leaf,Warm moist soil,Low,Seed,Likely Downy Mildew in Onion
238,Tomato,Early Blight,Bacterial,Typical symptoms observed for Early Blight,Tuber,Poor drainage,High,Soil,Likely Early Blight in Tomato
239,Onion,Downy Mildew,Fungal,Typical symptoms observed for Downy Mildew,Panicle,Warm moist soil,Medium,Air,Likely Downy Mildew in Onion
240,Chilli,Leaf Curl,Physiological,Typical symptoms observed for Leaf Curl,Tuber,Cool wet weather,Low,Seed,Likely Leaf Curl in Chilli
241,Maize,Maydis Leaf Blight,Bacterial,Typical symptoms observed for Maydis Leaf Blight,Whole Plant,Warm humid weather,High,Soil,Likely Maydis Leaf Blight in Maize
242,Soybean,Anthracnose,Physiological,Typical symptoms observed for Anthracnose,Stem,Warm moist soil,Low,Seed,Likely Anthracnose in Soybean
243,Maize,Common Rust,Fungal,Typical symptoms observed for Common Rust,Root,Warm humid weather,Low,Insect,Likely Common Rust in Maize
244,Soybean,Anthracnose,Physiological,Typical symptoms observed for Anthracnose,Panicle,High humidity,Low,Soil,Likely Anthracnose in Soybean
245,Chilli,Anthracnose,Viral,Typical symptoms observed for Anthracnose,Leaf,High humidity,Medium,Seed,Likely Anthracnose in Chilli
246,Cotton,Wilt,Bacterial,Typical symptoms observed for Wilt,Whole Plant,Warm moist soil,High,Air,Likely Wilt in Cotton
247,Chilli,Fruit Rot,Physiological,Typical symptoms observed for Fruit Rot,Panicle,High humidity,Low,Water,Likely Fruit Rot in Chilli
248,Wheat,Stripe Rust,Fungal,Typical symptoms observed for Stripe Rust,Leaf,Warm humid weather,Medium,Seed,Likely Stripe Rust in Wheat
249,Banana,Sigatoka,Bacterial,Typical symptoms observed for Sigatoka,Leaf,Dense canopy,Medium,Seed,Likely Sigatoka in Banana
250,Potato,Soft Rot,Bacterial,Typical symptoms observed for Soft Rot,Panicle,20-30°C,Medium,Soil,Likely Soft Rot in Potato
251,Maize,Stalk Rot,Bacterial,Typical symptoms observed for Stalk Rot,Root,Warm moist soil,Medium,Soil,Likely Stalk Rot in Maize
252,Maize,Maydis Leaf Blight,Bacterial,Typical symptoms observed for Maydis Leaf Blight,Root,High humidity,High,Water,Likely Maydis Leaf Blight in Maize
253,Rice,Blast,Fungal,Typical symptoms observed for Blast,Root,High humidity,Medium,Insect,Likely Blast in Rice
254,Potato,Common Scab,Fungal,Typical symptoms observed for Common Scab,Tuber,Warm humid weather,Low,Soil,Likely Common Scab in Potato
255,Tomato,Leaf Curl,Fungal,Typical symptoms observed for Leaf Curl,Root,20-30°C,Medium,Soil,Likely Leaf Curl in Tomato
256,Wheat,Flag Smut,Viral,Typical symptoms observed for Flag Smut,Root,Poor drainage,High,Seed,Likely Flag Smut in Wheat
257,Tomato,Bacterial Wilt,Viral,Typical symptoms observed for Bacterial Wilt,Root,Warm moist soil,High,Insect,Likely Bacterial Wilt in Tomato
258,Potato,Common Scab,Fungal,Typical symptoms observed for Common Scab,Leaf,Poor drainage,High,Insect,Likely Common Scab in Potato
259,Maize,Turcicum Leaf Blight,Fungal,Typical symptoms observed for Turcicum Leaf Blight,Panicle,Warm moist soil,Medium,Soil,Likely Turcicum Leaf Blight in Maize
260,Potato,Leaf Roll Virus,Viral,Typical symptoms observed for Leaf Roll Virus,Panicle,20-30°C,Low,Insect,Likely Leaf Roll Virus in Potato
261,Onion,Basal Rot,Fungal,Typical symptoms observed for Basal Rot,Fruit,Warm moist soil,Low,Air,Likely Basal Rot in Onion
262,Rice,Narrow Brown Spot,Fungal,Typical symptoms observed for Narrow Brown Spot,Fruit,Cool wet weather,Medium,Soil,Likely Narrow Brown Spot in Rice
263,Maize,Common Rust,Fungal,Typical symptoms observed for Common Rust,Whole Plant,Poor drainage,Medium,Water,Likely Common Rust in Maize
264,Potato,Early Blight,Viral,Typical symptoms observed for Early Blight,Root,Dense canopy,Medium,Soil,Likely Early Blight in Potato
265,Maize,Turcicum Leaf Blight,Viral,Typical symptoms observed for Turcicum Leaf Blight,Fruit,20-30°C,Medium,Air,Likely Turcicum Leaf Blight in Maize
266,Cotton,Leaf Curl Virus,Physiological,Typical symptoms observed for Leaf Curl Virus,Root,Warm moist soil,Low,Air,Likely Leaf Curl Virus in Cotton
267,Tomato,Early Blight,Bacterial,Typical symptoms observed for Early Blight,Panicle,Warm humid weather,Low,Water,Likely Early Blight in Tomato
268,Rice,False Smut,Viral,Typical symptoms observed for False Smut,Fruit,Dense canopy,Medium,Insect,Likely False Smut in Rice
269,Wheat,Leaf Rust,Viral,Typical symptoms observed for Leaf Rust,Tuber,Poor drainage,Low,Water,Likely Leaf Rust in Wheat
270,Rice,Bakanae,Viral,Typical symptoms observed for Bakanae,Tuber,High humidity,Low,Insect,Likely Bakanae in Rice
271,Soybean,Charcoal Rot,Viral,Typical symptoms observed for Charcoal Rot,Tuber,Poor drainage,Medium,Soil,Likely Charcoal Rot in Soybean
272,Onion,Basal Rot,Fungal,Typical symptoms observed for Basal Rot,Stem,Cool wet weather,Low,Seed,Likely Basal Rot in Onion
273,Cotton,Wilt,Physiological,Typical symptoms observed for Wilt,Leaf,20-30°C,High,Air,Likely Wilt in Cotton
274,Chilli,Leaf Curl,Physiological,Typical symptoms observed for Leaf Curl,Tuber,Dense canopy,High,Water,Likely Leaf Curl in Chilli
275,Cotton,Bacterial Blight,Physiological,Typical symptoms observed for Bacterial Blight,Root,High humidity,Medium,Insect,Likely Bacterial Blight in Cotton
276,Soybean,Rust,Viral,Typical symptoms observed for Rust,Tuber,High humidity,High,Air,Likely Rust in Soybean
277,Chilli,Damping Off,Physiological,Typical symptoms observed for Damping Off,Tuber,High humidity,High,Insect,Likely Damping Off in Chilli
278,Soybean,Frogeye Leaf Spot,Fungal,Typical symptoms observed for Frogeye Leaf Spot,Stem,Dense canopy,Low,Water,Likely Frogeye Leaf Spot in Soybean
279,Wheat,Spot Blotch,Fungal,Typical symptoms observed for Spot Blotch,Root,Warm moist soil,High,Water,Likely Spot Blotch in Wheat
280,Banana,Sigatoka,Fungal,Typical symptoms observed for Sigatoka,Leaf,High humidity,Low,Insect,Likely Sigatoka in Banana
281,Chilli,Leaf Curl,Bacterial,Typical symptoms observed for Leaf Curl,Panicle,Warm moist soil,Medium,Air,Likely Leaf Curl in Chilli
282,Maize,Head Smut,Bacterial,Typical symptoms observed for Head Smut,Panicle,Cool wet weather,Low,Seed,Likely Head Smut in Maize
283,Cotton,Wilt,Bacterial,Typical symptoms observed for Wilt,Fruit,High humidity,High,Water,Likely Wilt in Cotton
284,Rice,Bacterial Leaf Blight,Viral,Typical symptoms observed for Bacterial Leaf Blight,Leaf,Warm humid weather,High,Insect,Likely Bacterial Leaf Blight in Rice
285,Tomato,Mosaic Virus,Fungal,Typical symptoms observed for Mosaic Virus,Whole Plant,Poor drainage,Medium,Water,Likely Mosaic Virus in Tomato
286,Tomato,Early Blight,Fungal,Typical symptoms observed for Early Blight,Leaf,20-30°C,High,Seed,Likely Early Blight in Tomato
287,Onion,Basal Rot,Viral,Typical symptoms observed for Basal Rot,Panicle,Dense canopy,Medium,Air,Likely Basal Rot in Onion
288,Rice,Bacterial Leaf Blight,Viral,Typical symptoms observed for Bacterial Leaf Blight,Tuber,Warm moist soil,Low,Air,Likely Bacterial Leaf Blight in Rice
289,Tomato,Mosaic Virus,Viral,Typical symptoms observed for Mosaic Virus,Root,High humidity,Low,Soil,Likely Mosaic Virus in Tomato
290,Chilli,Fruit Rot,Physiological,Typical symptoms observed for Fruit Rot,Tuber,Cool wet weather,Low,Water,Likely Fruit Rot in Chilli
291,Cotton,Grey Mildew,Bacterial,Typical symptoms observed for Grey Mildew,Fruit,Poor drainage,Low,Insect,Likely Grey Mildew in Cotton
292,Rice,Blast,Viral,Typical symptoms observed for Blast,Stem,High humidity,High,Insect,Likely Blast in Rice
293,Rice,Blast,Physiological,Typical symptoms observed for Blast,Tuber,High humidity,Medium,Air,Likely Blast in Rice
294,Cotton,Bacterial Blight,Bacterial,Typical symptoms observed for Bacterial Blight,Leaf,Cool wet weather,Medium,Soil,Likely Bacterial Blight in Cotton
295,Potato,Common Scab,Fungal,Typical symptoms observed for Common Scab,Whole Plant,Warm moist soil,Low,Water,Likely Common Scab in Potato
296,Potato,Early Blight,Viral,Typical symptoms observed for Early Blight,Fruit,High humidity,Medium,Seed,Likely Early Blight in Potato
297,Soybean,Anthracnose,Physiological,Typical symptoms observed for Anthracnose,Leaf,Dense canopy,Low,Water,Likely Anthracnose in Soybean
298,Banana,Cordana Leaf Spot,Physiological,Typical symptoms observed for Cordana Leaf Spot,Whole Plant,Dense canopy,High,Seed,Likely Cordana Leaf Spot in Banana
299,Potato,Soft Rot,Physiological,Typical symptoms observed for Soft Rot,Root,Warm humid weather,Low,Soil,Likely Soft Rot in Potato
300,Banana,Bunchy Top,Bacterial,Typical symptoms observed for Bunchy Top,Fruit,Cool wet weather,High,Water,Likely Bunchy Top in Banana
