management_id,crop,growth_stage,activity,recommendation,frequency,priority,description
240,Maize,Sowing,Sowing,Use certified seeds at recommended spacing.,Critical growth stage,Low,Sowing management practices for Maize.
241,Maize,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,As recommended,Low,Land Preparation management practices for Maize.
242,Potato,Tuber Formation,Tuber Formation,Follow recommended agronomic practices.,As recommended,Medium,Tuber Formation management practices for Potato.
243,Maize,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Once,Medium,Land Preparation management practices for Maize.
244,Rice,Harvest,Harvest,Harvest at physiological maturity.,Weekly,Low,Harvest management practices for Rice.
245,Banana,Fruit Development,Fruit Development,Maintain balanced irrigation.,As recommended,Low,Fruit Development management practices for Banana.
246,Wheat,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Weekly,Low,Land Preparation management practices for Wheat.
247,Wheat,Harvest,Harvest,Harvest at physiological maturity.,Once,High,Harvest management practices for Wheat.
248,Chilli,Nursery,Nursery,Maintain adequate moisture and healthy seedlings.,Critical growth stage,High,Nursery management practices for Chilli.
249,Banana,Planting,Planting,Maintain recommended spacing.,As recommended,High,Planting management practices for Banana.
250,Rice,Tillering,Tillering,Top dress nitrogen as recommended.,Every 15 days,High,Tillering management practices for Rice.
251,Potato,Tuber Formation,Tuber Formation,Follow recommended agronomic practices.,Every 15 days,Medium,Tuber Formation management practices for Potato.
252,Wheat,Harvest,Harvest,Harvest at physiological maturity.,Critical growth stage,High,Harvest management practices for Wheat.
253,Onion,Transplanting,Transplanting,Transplant healthy seedlings at recommended spacing.,Critical growth stage,Low,Transplanting management practices for Onion.
254,Soybean,Flowering,Flowering,Avoid moisture stress and monitor pests.,Weekly,Medium,Flowering management practices for Soybean.
255,Maize,Tasseling,Tasseling,Ensure adequate irrigation.,Weekly,Low,Tasseling management practices for Maize.
256,Cotton,Seed Treatment,Seed Treatment,Treat seed with recommended biofungicide or fungicide before sowing.,Critical growth stage,Low,Seed Treatment management practices for Cotton.
257,Maize,Harvest,Harvest,Harvest at physiological maturity.,As recommended,Low,Harvest management practices for Maize.
258,Wheat,Sowing,Sowing,Use certified seeds at recommended spacing.,Weekly,Medium,Sowing management practices for Wheat.
259,Onion,Transplanting,Transplanting,Transplant healthy seedlings at recommended spacing.,Once,Low,Transplanting management practices for Onion.
260,Wheat,Grain Filling,Grain Filling,Maintain moisture until maturity.,Once,Low,Grain Filling management practices for Wheat.
261,Chilli,Harvest,Harvest,Harvest at physiological maturity.,As recommended,Low,Harvest management practices for Chilli.
262,Banana,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,As recommended,Low,Land Preparation management practices for Banana.
263,Potato,Seed Tuber Treatment,Seed Tuber Treatment,Treat seed tubers before planting.,Every 15 days,Medium,Seed Tuber Treatment management practices for Potato.
264,Tomato,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Every 15 days,Medium,Vegetative management practices for Tomato.
265,Banana,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,As recommended,Medium,Land Preparation management practices for Banana.
266,Rice,Seed Treatment,Seed Treatment,Treat seed with recommended biofungicide or fungicide before sowing.,Once,Low,Seed Treatment management practices for Rice.
267,Chilli,Harvest,Harvest,Harvest at physiological maturity.,Weekly,High,Harvest management practices for Chilli.
268,Maize,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Every 15 days,High,Land Preparation management practices for Maize.
269,Banana,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Weekly,Low,Vegetative management practices for Banana.
270,Banana,Harvest,Harvest,Harvest at physiological maturity.,Every 15 days,Medium,Harvest management practices for Banana.
271,Chilli,Harvest,Harvest,Harvest at physiological maturity.,Once,Low,Harvest management practices for Chilli.
272,Chilli,Nursery,Nursery,Maintain adequate moisture and healthy seedlings.,Every 15 days,Low,Nursery management practices for Chilli.
273,Potato,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Every 15 days,Medium,Land Preparation management practices for Potato.
274,Tomato,Flowering,Flowering,Avoid moisture stress and monitor pests.,Weekly,Medium,Flowering management practices for Tomato.
275,Soybean,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Every 15 days,Low,Land Preparation management practices for Soybean.
276,Banana,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Every 15 days,Low,Land Preparation management practices for Banana.
277,Wheat,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Every 15 days,High,Land Preparation management practices for Wheat.
278,Tomato,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Critical growth stage,High,Land Preparation management practices for Tomato.
279,Onion,Transplanting,Transplanting,Transplant healthy seedlings at recommended spacing.,Critical growth stage,Medium,Transplanting management practices for Onion.
280,Tomato,Harvest,Harvest,Harvest at physiological maturity.,As recommended,Medium,Harvest management practices for Tomato.
281,Rice,Transplanting,Transplanting,Transplant healthy seedlings at recommended spacing.,Weekly,Medium,Transplanting management practices for Rice.
282,Wheat,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Weekly,Low,Vegetative management practices for Wheat.
283,Banana,Fruit Development,Fruit Development,Maintain balanced irrigation.,Every 15 days,Medium,Fruit Development management practices for Banana.
284,Cotton,Boll Development,Boll Development,Irrigate as required.,Once,Low,Boll Development management practices for Cotton.
285,Potato,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,As recommended,Medium,Vegetative management practices for Potato.
286,Potato,Planting,Planting,Maintain recommended spacing.,Critical growth stage,Medium,Planting management practices for Potato.
287,Chilli,Flowering,Flowering,Avoid moisture stress and monitor pests.,As recommended,Low,Flowering management practices for Chilli.
288,Chilli,Nursery,Nursery,Maintain adequate moisture and healthy seedlings.,As recommended,Low,Nursery management practices for Chilli.
289,Potato,Harvest,Harvest,Harvest at physiological maturity.,Once,Low,Harvest management practices for Potato.
290,Potato,Planting,Planting,Maintain recommended spacing.,As recommended,High,Planting management practices for Potato.
291,Tomato,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Critical growth stage,Low,Vegetative management practices for Tomato.
292,Rice,Tillering,Tillering,Top dress nitrogen as recommended.,Once,Low,Tillering management practices for Rice.
293,Tomato,Harvest,Harvest,Harvest at physiological maturity.,Weekly,Medium,Harvest management practices for Tomato.
294,Soybean,Pod Filling,Pod Filling,Avoid water stress.,Weekly,Low,Pod Filling management practices for Soybean.
295,Soybean,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Once,Low,Vegetative management practices for Soybean.
296,Cotton,Flowering,Flowering,Avoid moisture stress and monitor pests.,Once,Medium,Flowering management practices for Cotton.
297,Maize,Sowing,Sowing,Use certified seeds at recommended spacing.,Critical growth stage,High,Sowing management practices for Maize.
298,Potato,Tuber Formation,Tuber Formation,Follow recommended agronomic practices.,Critical growth stage,High,Tuber Formation management practices for Potato.
299,Maize,Silking,Silking,Maintain soil moisture.,As recommended,Low,Silking management practices for Maize.
300,Soybean,Flowering,Flowering,Avoid moisture stress and monitor pests.,Weekly,High,Flowering management practices for Soybean.
